filename,Teff,logg,M_H,Radius,F070W,F090W,F1000W,F1065C,F1130W,F1140C,F115W,F1280W,F140M,F1500W,F150W,F150W2,F1550C,F162M,F164N,F1800W,F182M,F187N,F200W,F2100W,F210M,F212N,F2300C,F250M,F2550W,F277W,F300M,F322W2,F323N,F335M,F356W,F360M,F405N,F410M,F430M,F444W,F460M,F466N,F470N,F480M,F560W,F770W,H,[3.6],[4.5],J,Ks
sp_t1800g562nc_m+0.5,1800,4.75,0.5,0.123797983,17.68465076,14.23902303,9.524233077,9.468827443,9.479132816,9.463182736,12.52849443,9.544546326,12.93122055,9.633281269,12.16105956,11.9538517,9.644904876,11.44555427,11.32068315,9.616425626,11.94117314,12.19535747,11.54395645,9.612267966,11.17310528,10.93066581,9.590208048,11.65216163,9.58182188,11.66542024,11.49328381,10.90016004,10.94998842,10.74037012,10.32387653,10.18901896,9.857459571,10.00683848,10.61221883,10.33587578,10.76353362,10.62539122,10.61194576,10.65148448,10.36449569,10.15121269,11.54070629,10.34694847,10.50613692,12.20391218,10.86999972
sp_t1800g1000nc_m+0.5,1800,5,0.5,0.1099,18.08676507,14.46154002,9.790059189,9.737023467,9.746539153,9.73054053,12.77136483,9.813082902,13.17506529,9.893609603,12.39273842,12.20432275,9.903862596,11.67154044,11.55599979,9.880978753,12.21579066,12.45798735,11.80354521,9.874361438,11.41920004,11.17639648,9.852687166,11.95893405,9.840670657,11.95107137,11.7692651,11.17470684,11.26106774,11.05560609,10.59750514,10.45888088,10.10758736,10.25533938,10.8597138,10.59057996,11.04561349,10.91261675,10.90138814,10.93450829,10.64056857,10.42278899,11.78075454,10.62445865,10.76561968,12.43460445,11.13722048
sp_t1800g3160nc_m+0.5,1800,5.5,0.5,0.0973,18.72770793,14.68197007,10.06947354,10.02335806,10.02647257,10.0095274,12.99598831,10.09619223,13.39930516,10.17156087,12.59231568,12.45515555,10.18200769,11.86281162,11.75995317,10.1694249,12.508983,12.73606047,12.08186216,10.16468631,11.67557657,11.43048871,10.1431355,12.3330231,10.1312395,12.28494486,12.09779057,11.52258078,11.79810684,11.59268081,10.95924839,10.81437271,10.35536337,10.50174655,11.10390942,10.84900007,11.35211667,11.22621928,11.21538607,11.24111565,10.9529689,10.77975782,11.99620344,10.99824355,11.03301151,12.63942085,11.45481543
sp_t1900g10nc_m+0.5,1900,3,0.5,0.2536,15.63274751,12.6731732,7.802394825,7.744489717,7.731749719,7.727027632,10.83255826,7.752325003,11.03998702,7.789233903,10.44937405,10.20468621,7.802969544,9.805942462,9.627515298,7.745170764,10.01262721,10.23027099,9.742476316,7.725073968,9.490857431,9.279283932,7.697848555,9.506646575,7.697262386,9.569910141,9.500512691,9.028080247,8.972377297,8.781000728,8.543868029,8.446788497,8.205383995,8.304672756,8.669918507,8.456499478,8.544875061,8.450706043,8.454608218,8.474588837,8.351731003,8.192920734,9.828062463,8.558334465,8.521366951,10.53313193,9.159248081
sp_t1900g17nc_m+0.5,1900,3.23,0.5,0.239242959,15.69038731,12.73710525,7.941106643,7.8839048,7.87530862,7.868995996,10.93743508,7.903009715,11.17052828,7.951705633,10.57182308,10.32656175,7.963285612,9.926016159,9.750801453,7.91084122,10.15120512,10.37911366,9.875888687,7.895623161,9.617478924,9.402707652,7.868897744,9.667810438,7.872058716,9.735139225,9.660039213,9.171757402,9.109157506,8.91636982,8.676057501,8.578177751,8.332778298,8.438558726,8.829112959,8.611775875,8.73010299,8.63301603,8.628411355,8.656342692,8.519479586,8.354100614,9.949986514,8.69076297,8.686863546,10.64087531,9.282120003
sp_t1900g31nc_m+0.5,1900,3.49,0.5,0.223405048,15.78358746,12.83105439,8.099148815,8.041792418,8.037687492,8.030178379,11.06069225,8.07340846,11.31684005,8.132460152,10.70929356,10.46636302,8.143746957,10.0617952,9.891679783,8.095665288,10.30982711,10.54723944,10.0275317,8.085053891,9.760155651,9.542547737,8.0591646,9.852947232,8.063437886,9.921648176,9.8375295,9.333900607,9.263937695,9.070038277,8.825897762,8.726961073,8.47879395,8.590670222,9.006771804,8.787272498,8.942439559,8.838868683,8.829290518,8.864550778,8.709827098,8.535470836,10.08885057,8.8408419,8.874701369,10.76647981,9.422463765
sp_t1900g56nc_m+0.5,1900,3.75,0.5,0.198846359,15.9964523,13.0434172,8.363750247,8.306070802,8.306956877,8.297975727,11.2944495,8.349035647,11.56446501,8.416215302,10.94812723,10.7117359,8.428382861,10.30019321,10.13772633,8.384087105,10.57335222,10.81605232,10.28170004,8.376819747,10.00353132,9.784450524,8.351540845,10.14348865,8.354917072,10.20998016,10.11468115,9.597711707,9.521949847,9.327139959,9.078038095,8.977455654,8.730071367,8.846145792,9.285832152,9.065570673,9.261206462,9.151747393,9.13709914,9.17910381,9.00501563,8.820710929,10.33192717,9.093256193,9.165561698,11.00158757,9.666692695
sp_t1900g100nc_m+0.5,1900,4,0.5,0.1775,16.23186942,13.26107455,8.624016853,8.566121178,8.571485219,8.561048064,11.52756454,8.619453147,11.80781221,8.69376023,11.18049352,10.95340769,8.706853551,10.53107904,10.37795514,8.666905651,10.83435405,11.07949347,10.53070678,8.662225212,10.23981622,10.01977342,8.637837514,10.43388906,8.639877776,10.49496886,10.38651776,9.856518477,9.778023548,9.582255182,9.325188229,9.221973365,8.976195038,9.095664057,9.559513863,9.337946831,9.578088156,9.46215643,9.443945851,9.490965923,9.296029286,9.102557594,10.56979789,9.340820609,9.451198951,11.23445377,9.906292621
sp_t1900g178nc_m+0.5,1900,4.25,0.5,0.159598676,16.48931706,13.47015644,8.866534346,8.808900605,8.818196936,8.806370933,11.74696126,8.871743909,12.03639273,8.951911409,11.39644225,11.1802272,8.964980801,10.74402623,10.60254307,8.929958722,11.08317409,11.32822373,10.7647028,8.927269399,10.45922736,10.23817907,8.903876433,10.71544035,8.903869041,10.76811189,10.64546839,10.1017354,10.02724931,9.829601733,9.558923675,9.451444383,9.20386399,9.3275209,9.816420687,9.592629915,9.88128486,9.758632946,9.739006875,9.788675604,9.571617627,9.368958998,10.79235134,9.574979071,9.719575554,11.45128788,10.13099109
sp_t1900g316nc_m+0.5,1900,4.5,0.5,0.143100855,16.77715959,13.68404373,9.114311694,9.057886337,9.070175944,9.057109431,11.9757897,9.128644492,12.26507645,9.211861175,11.6152779,11.41242576,9.224666679,10.96076776,10.83338843,9.195563304,11.33617719,11.57573609,11.00137896,9.193620072,10.68117615,10.45993882,9.170972883,11.00204082,9.168737347,11.04371253,10.90781414,10.35257416,10.29075518,10.09115765,9.800558311,9.687107846,9.434818989,9.562030896,10.0719313,9.847457763,10.18427921,10.05673627,10.03643401,10.08647569,9.84903359,9.641224985,11.02053083,9.816918011,9.986802609,11.67470354,10.3621106
