Time,Mag_H,Mag_H_err,Mag_J,Mag_J_err,Mag_Ks,Mag_Ks_err,Mag_F070W,Mag_F070W_err,Mag_F090W,Mag_F090W_err,Mag_F115W,Mag_F115W_err,Mag_F140M,Mag_F140M_err,Mag_F150W,Mag_F150W_err,Mag_F150W2,Mag_F150W2_err,Mag_F162M,Mag_F162M_err,Mag_F164N,Mag_F164N_err,Mag_F182M,Mag_F182M_err,Mag_F187N,Mag_F187N_err,Mag_F200W,Mag_F200W_err,Mag_F210M,Mag_F210M_err,Mag_F212N,Mag_F212N_err,Mag_F250M,Mag_F250M_err
-0.5909816414086639,9.59858609026513,0.005784866856574923,10.223303402775713,0.005928249370399274,9.105688875323427,0.007079626002598994,11.66473797873487,0.034935929943873935,10.91033200567174,0.014871247391486304,10.355978415173013,0.005698768362793075,9.835908841347951,0.006399412811010897,9.740420012097115,0.004636010062447323,9.760695101485364,0.0027578806797235755,9.619938350812085,0.0071466261804450605,9.566924249877847,0.01755242931549264,9.330322453727614,0.0062710991017538,9.308624677242289,0.017306672231364048,9.217715284656656,0.004982779986748169,9.120561155655057,0.00785972143362012,9.133874206497197,0.019856823274571195,8.74765605344199,0.010117747785031224
-0.5607807460149398,9.533790651953893,0.005715474250014562,10.167424833349486,0.0059128210715949335,9.047610632140692,0.007016024097954803,11.625809838318503,0.0348926498387793,10.87002951427549,0.014925731862647253,10.303554390543368,0.005707904086697704,9.77313537664373,0.006335638849543234,9.676855408601924,0.004593986580635304,9.701557518016692,0.0027377401208880615,9.555554643133298,0.00707782443857346,9.501957815550448,0.017446264932668067,9.269365948772563,0.006206927656005721,9.250483677628882,0.017254464303461333,9.15830324080892,0.004938515554286501,9.062814541920709,0.007801687904046587,9.079965023905878,0.019911575599853768,8.691508941955245,0.010109614575705628
-0.5307544223439593,9.498046477998273,0.005727243737562337,10.141359748339145,0.00600800230364171,9.015658804826767,0.007035055207601896,11.611868847736712,0.03506611204913625,10.859589398603227,0.0152010715075241,10.280435036816236,0.005815118344572516,9.739945198587659,0.00637399998529353,9.642691931469695,0.004618385745527191,9.670402987245676,0.002755054434256416,9.520396175918691,0.007108367299774828,9.465155153340241,0.017577746075529015,9.234389765056193,0.006210145851439921,9.21845522918191,0.01737184672367626,9.125062002342457,0.0049508638353262585,9.031487741600507,0.00783286366933793,9.050804196885764,0.02013607559420817,8.659606570685565,0.010162327196794002
-0.5007280987757042,9.491007054875968,0.005787373563890925,10.144979913659434,0.006176321369325072,9.009410057870728,0.007099525170344997,11.621791577250573,0.03534136473285013,10.87873244022558,0.015649427491789967,10.28662300488767,0.005984867165953778,9.73604834488177,0.006479999060911482,9.63760215122057,0.004682095202818465,9.666963448595808,0.002794423060023173,9.51412219295263,0.007194388431460406,9.456393296361973,0.01782252563394621,9.22519016239016,0.006247291139967544,9.211954891159003,0.017575284647329346,9.117655286684347,0.004991505959588445,9.026067841694633,0.0079085952038191,9.045835598036174,0.020392818052767908,8.651452469586662,0.010225329602327008
-0.47070177526451895,9.51286627699885,0.005871919026910891,10.178759151172748,0.006386801230019864,9.028911830659524,0.0071806166227041425,11.654725905888604,0.035569761297592886,10.927695676471263,0.0162178674965333,10.32266112492546,0.00618937746597202,9.761745763549943,0.006627724063044065,9.6618048205669,0.004766620428129739,9.691478534556374,0.002844487046042542,9.536896997314866,0.007306307379614015,9.475911719187078,0.018103284613729866,9.24204070915005,0.006294910477244874,9.230941376740468,0.01780675123715902,9.1362173521437,0.005040177750279851,9.046513466392586,0.007995666630996542,9.064965273855982,0.02059567642850051,8.666951493743976,0.010269110751228093
-0.4406754518389382,9.563869886585412,0.005999950289743076,10.243350006481219,0.006653148436540511,9.074229417259822,0.0073002274546029675,11.70970234754353,0.03580799823764703,11.006876094478901,0.016953047006300626,10.389237784950758,0.006445948170338101,9.817460231404766,0.006837485399167262,9.715587089204327,0.004888807020904593,9.744243724172073,0.0029145672247337185,9.588904480003215,0.0074701185048810905,9.523841429305516,0.01848724180058758,9.28523452716231,0.006376762686442766,9.275466544976652,0.01813060252550473,9.180897823707614,0.005114215700840629,9.092799868542528,0.008119149633074913,9.108141580391933,0.020827157333864088,8.705986511222598,0.010340620227959743
-0.4104745568561158,9.644937171681,0.006200378402263678,10.340345651485755,0.007001320790766504,9.145989639611596,0.007488391130338453,11.786131142838762,0.03614583553160867,11.117630607286479,0.017928912638450117,10.487960001705247,0.006785452866548716,9.904415679921946,0.007138407237539611,9.799954158634456,0.005073330314323391,9.826239644311297,0.0030184644344518285,9.67097069755189,0.007724911380463989,9.600785807265925,0.019075202367210477,9.35563744312126,0.006526016195880375,9.34622451191148,0.018623492975086905,9.252412396685738,0.0052383092618240945,9.165464317371121,0.00831500293749474,9.17587818104376,0.021209207746534037,8.768900883190533,0.01049618499784586
-0.3802736619303631,9.756274259776486,0.006685311927761873,10.470684340184864,0.007672645295793642,9.244150961910023,0.00798891099962689,11.882409929072303,0.03774041103425619,11.260398703064816,0.01977390023693045,10.619731114025097,0.0074477537984799485,10.023181852894677,0.00776955932731655,9.915198106161672,0.005494079605696203,9.937744500797443,0.003258482250319426,9.783152759610182,0.008336816616899096,9.706463236468473,0.020522377253423985,9.453504955257841,0.006963148713983164,9.443365925301041,0.019884328826163047,9.350828219796014,0.005587547377053546,9.264353835407537,0.008858084664193914,9.268115306646553,0.022469777302878056,8.855423351405957,0.011080153135794647
-0.3502473387673029,9.89798190265364,0.007475907237945763,10.635480621730515,0.00871893925785415,9.368546628824863,0.008802253689501304,11.99671821560128,0.04060021460381848,11.435641863976542,0.022634882484078238,10.785611727011617,0.008485389339787399,10.17432845588667,0.008757569449070253,10.061530278551473,0.006168968222844204,10.078971558605854,0.0036433289683001496,9.925347377231944,0.009329825336358746,9.840202063495148,0.02286719040812713,9.579028216755681,0.0076944901476926845,9.5670530684637,0.02190545062160825,9.476117290916203,0.0061656719361915064,9.38919338204531,0.00975228791298952,9.384796634711794,0.024613281549554847,8.965162257185114,0.012068263558265683
-0.3202210156727263,10.071982350782946,0.00875220410120268,10.838506110390203,0.010419205548947937,9.52055249032837,0.010102469624730234,12.128523555299182,0.04549462576666139,11.646333757913997,0.027235555658595572,10.989263501697629,0.010162871901335047,10.36056597807682,0.010332758535354645,10.241070819052268,0.007248748031615609,10.2520070811372,0.004258878720385875,10.099158557372096,0.010918637481475124,10.002594633499069,0.02658441052958039,9.734046243374138,0.008875134953808239,9.71918097845779,0.025130665481860374,9.629845269107896,0.0070956483058659744,9.54125892402421,0.011190245109576722,9.527453309089562,0.02807057800398818,9.099034892856618,0.013642320167746884
