wavepix,fp_values,fp_err_down,fp_err_up
0.6012608647346497,578.355062216113,99.17152877416714,97.67386990878083
0.6033100485801697,302.0236948496952,66.33636972734361,102.27162076960514
0.6053620219230652,257.1266319232155,81.21318504874044,101.64590986589792
0.6074174344539642,408.6714536758872,89.46723745926255,86.24178488985501
0.6094760954380035,253.353712552223,61.25360334227654,80.6989736305732
0.611539113521576,397.6540306171914,80.33515625754535,76.38255456994142
0.6136032819747925,133.37478978582297,31.305346215226194,46.29620519379915
0.6156727373600006,449.44876923560975,77.25692301634388,74.65099703711661
0.6177450895309449,64.74989010908844,16.88006322986383,47.94750238050647
0.6198211967945099,682.3747854675368,64.61154120191406,63.84281069378653
0.6219002068042755,181.7080069556352,41.57928609148871,57.99272807937291
0.6239828169345856,444.0773862760308,65.66480453509041,68.49847829248415
0.626068365573883,302.5377402571481,64.85895145918076,64.60788077972603
0.6281576037406922,113.61645363408033,48.77135669396359,67.05715773366248
0.6302493393421174,103.28124477547773,31.173152756046786,44.357252590918335
0.6323456943035126,282.24377072219187,61.64227573049163,61.81362490772659
0.6344442903995514,340.01451100519796,62.20365567958788,56.644916499088026
0.636546391248703,337.04806273456546,57.94435047850337,57.98606827337403
0.638651716709137,255.03717190825014,59.84528351110211,58.00036465716761
0.6407596826553345,238.3903542488502,60.67824848687245,56.833754184202775
0.6428718447685242,388.26186088773886,53.99113946065904,53.27900426245236
0.6449864864349365,322.52612677364243,54.098556370567934,50.7828956913674
0.6471040844917297,283.15856489856844,57.242423494158146,54.09579354835381
0.64922536611557,314.63964101852997,52.785072373026225,50.78044472779254
0.651349663734436,241.1456564914262,50.64352462832085,51.721331766394485
0.6534757018089294,191.66773703877814,45.89039205098872,53.83615128973088
0.6556076526641845,420.3961538902114,53.25636576230875,51.10423476953679
0.657740443944931,164.93716757502702,42.76889652384291,50.52190220022317
0.6598768293857574,395.14918653971955,42.19601057007844,46.446283137032424
0.6620163917541504,294.44465112117143,47.05669400248976,43.99943073384031
0.6641574501991272,244.26718789308597,50.64146307440802,46.654596980085444
0.666303527355194,439.53397494223873,45.958310297476885,48.52302203496811
0.6684516787528991,227.7697837707233,50.42484172355236,46.88932500781715
0.6706028044223785,202.04984189538837,43.29570850018061,42.93421416126108
0.6727574527263641,324.09723067737934,43.33911580542076,43.94178525423035
0.6749142825603485,311.91283134303916,44.99075935373003,42.00048866160296
0.6770738303661347,312.7835507520886,43.750818931890194,41.49340664922323
0.6792368054389953,329.52282951158077,39.0899226512924,38.37523844281475
0.6814026355743408,368.6232254730796,40.51161085192604,39.5581566886824
0.6835714817047119,362.8545376327127,40.12649872780355,41.82182930822228
0.6857431530952454,254.4908969942893,41.66542915097838,37.52415322256712
0.6879173636436462,384.6247844591759,39.685047371024496,40.21920848771748
0.6900939822196961,272.0740087436324,40.347889615626,41.92448584046514
0.6922737538814545,391.7988162347028,37.660973092561846,37.204045343973746
0.6944565355777741,422.4889788634515,37.928096775580855,36.48552044790216
0.696641480922699,482.1234460391254,38.028609001992095,41.124046387288104
0.6988291621208191,445.59745973767997,38.364930932578716,39.198027592393714
0.7010208308696747,273.38488021790704,40.1245726123862,38.48167117793517
0.7032140612602233,396.9584575784598,41.902831535655594,39.20602095643363
0.7054098904132843,325.050318591396,38.92826097942071,36.76460334201437
0.7076089978218079,206.90839002003946,39.65558996464699,40.253179696182
0.7098094522953033,503.6178739670811,35.579102237342795,39.29291291560901
0.7120139181613923,523.0395299935822,38.95804710517103,39.401797616793374
0.7142194747924805,485.99839154443873,37.808591163781045,38.40721907608196
0.716430377960205,402.6577024457646,39.56776450808172,38.67962292222347
0.7186423301696777,272.16127158327697,40.6647500519135,37.77821929267054
0.7208557069301605,432.1382704596455,40.10197677082061,39.81845579298016
0.7230715572834014,468.2163076012089,38.03548815111162,37.11485403920733
0.7252926707267762,361.56590544327287,38.4762433397305,38.94181935603552
0.7275128722190857,434.1615447471507,39.4237608191724,39.359210508582464
0.7297379970550537,277.564895989384,40.77199002885874,42.02906466550067
0.731964373588562,298.4732943132134,42.07116864596799,39.841371590804556
0.7341940045356751,250.49464667520152,41.01485251626957,39.27140391939531
0.7364256024360657,375.00625807407795,42.37904832585036,42.769110705253865
0.738659930229187,438.31422404283506,40.88306039183544,39.24894750092369
0.7408958315849304,467.69959677113286,38.81467873970229,41.08341124468188
0.7431344866752625,512.5167725822411,39.69226264013656,40.72048016330791
0.7453765749931336,352.7985209077012,42.254715303410876,40.14067845436301
0.747619903087616,379.6623164452033,40.22247828758026,42.23428663513863
